id,__latitude,__longitude,Sequence Cluster,Sequence Cluster__colour,Sequence Type,Serotype,Benzylpenicillin MIC (ug/mL),Ceftriaxone MIC (ug/mL),Trimethoprim MIC (ug/mL),Erythromycin MIC (ug/mL),Tetracycline MIC (ug/mL),Chloramphenicol MIC (ug/mL),Year of Isolation,Year of Isolation__shape,Community of Isolation,Host Age (months),Sequence Reads Accession,Genome Annotation Accession,samples,tetracycline,tetM
R34-3146,42.4072107,-71.3824374,16,#505050,393,38,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,C,Jun-24,ERR068039,CNXC02000001-CNXC02000195,CNXC01000000,0,0
277394,42.4072107,-71.3824374,16,#505050,SLV1934,11A,0.06,<0.03,0.25/4,<0.03,>8,,2001,circle,D,24-36,ERR069808,CNUQ02000001-CNUQ02000206,CNUQ01000000,1,1
333793,42.4072107,-71.3824374,16,#505050,817,15A,<0.03,<0.03,0.12/2,<0.03,0.25,,2001,circle,E,Jun-24,ERR069820,CNUP02000001-CNUP02000141,CNUP01000000,0,0
R34-3062,42.4072107,-71.3824374,16,#505050,659,16F,0.06,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,P,36-84,ERR065318,CNOH02000001-CNOH02000180,CNOH01000000,0,0
R34-3056,42.4072107,-71.3824374,16,#505050,1924,17F,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,G,<6,ERR065312,CNOE02000001-CNOE02000138,CNOE01000000,0,0
40241,42.4072107,-71.3824374,16,#505050,1923,18C,<0.03,<0.03,0.5/9.,<0.03,0.25,,2001,circle,A,Jun-24,ERR069739,CNSF02000001-CNSF02000205,CNSF01000000,0,0
303656,42.4072107,-71.3824374,16,#505050,496,18C,<0.03,<0.03,0.25/4,<0.03,0.12,,2001,circle,J,24-36,ERR069814,CHBK02000001-CHBK02000135,CHBK01000000,0,0
R34-3059,42.4072107,-71.3824374,16,#505050,1073,18C,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,G,36-84,ERR065315,CNOG02000001-CNOG02000176,CNOG01000000,0,0
R34-3102,42.4072107,-71.3824374,16,#505050,496,18C,0.12,<=0.25,>2.00,>0.50,<=0.50,2,2004,square,H,36-84,ERR068007,CNWR02000001-CNWR02000142,CNWR01000000,0,0
R34-3196,42.4072107,-71.3824374,16,#505050,113,18C,<=0.03,<=0.25,0.5,<=0.06,<=0.50,<=1.00,2004,square,C,Jun-24,ERR069695,CHWS02000001-CHWS02000185,CHWS01000000,0,0
R34-3037,42.4072107,-71.3824374,16,#505050,1944,19A,2,2,0.5,>0.50,<=0.50,2,2004,square,J,Jun-24,ERR065294,CNNS02000001-CNNS02000203,CNNS01000000,0,1
R34-3183,42.4072107,-71.3824374,16,#505050,276,19A,2,0.5,1,>0.50,>4.00,2,2004,square,B,24-36,ERR067982,CFQP02000001-CFQP02000130,CFQP01000000,1,1
27999,42.4072107,-71.3824374,16,#505050,1340,19F,0.06,<0.03,0.12/2,<0.03,0.12,,2001,circle,E,36-84,ERR069737,CNSS02000001-CNSS02000273,CNSS01000000,0,0
209464,42.4072107,-71.3824374,16,#505050,425,19F,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,P,36-84,ERR069792,CNTY02000001-CNTY02000196,CNTY01000000,0,0
284968,42.4072107,-71.3824374,16,#505050,425,19F,0.06,<0.03,0.25/4,<0.03,0.25,,2001,circle,N,24-36,ERR069810,CNUL02000001-CNUL02000174,CNUL01000000,0,0
439699,42.4072107,-71.3824374,16,#505050,654,19F,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,O,Jun-24,ERR065960,CFQS02000001-CFQS02000201,CFQS01000000,0,0
R34-3028,42.4072107,-71.3824374,16,#505050,425,19F,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,I,36-84,ERR065354,CNOX02000001-CNOX02000178,CNOX01000000,0,0
R34-3043,42.4072107,-71.3824374,16,#505050,654,19F,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,F,36-84,ERR065299,CNNR02000001-CNNR02000179,CNNR01000000,0,0
R34-3070,42.4072107,-71.3824374,16,#505050,654,19F,2,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,F,36-84,ERR065325,CHIN02000001-CHIN02000226,CHIN01000000,0,0
R34-3113,42.4072107,-71.3824374,16,#505050,43,19F,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,L,24-36,ERR068014,CNWZ02000001-CNWZ02000181,CNWZ01000000,0,0
R34-3137,42.4072107,-71.3824374,16,#505050,425,19F,>4.00,<=0.25,<=0.25,<=0.06,<=0.50,<=1.00,2004,square,P,Jun-24,ERR068031,CFIQ02000001-CFIQ02000190,CFIQ01000000,0,0
R34-3193,42.4072107,-71.3824374,16,#505050,1903,19F,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,C,24-36,ERR069692,CNQY02000001-CNQY02000181,CNQY01000000,0,0
R34-3198,42.4072107,-71.3824374,16,#505050,425,19F,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,P,36-84,ERR069697,CNQZ02000001-CNQZ02000187,CNQZ01000000,0,0
R34-3224,42.4072107,-71.3824374,16,#505050,425,19F,0.06,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,P,24-36,ERR069723,CNRV02000001-CNRV02000167,CNRV01000000,0,0
44744,42.4072107,-71.3824374,16,#505050,242,23F,2,0.25,0.12/2,>1,>8,,2001,circle,H,Jun-24,ERR069742,CNSJ02000001-CNSJ02000175,CNSJ01000000,1,1
173015,42.4072107,-71.3824374,16,#505050,81,23F,4,2,Apr-76,1,>8,,2001,circle,K,Jun-24,ERR069785,CNTS02000001-CNTS02000162,CNTS01000000,1,1
218229,42.4072107,-71.3824374,16,#505050,81,23F,>4,2,>4/76,>1,>8,,2001,circle,K,Jun-24,ERR069797,CNUC02000001-CNUC02000187,CNUC01000000,1,1
334847,42.4072107,-71.3824374,16,#505050,81,23F,>4,>2,>4/76,>1,>8,,2001,circle,P,Jun-24,ERR069821,CNVF02000001-CNVF02000177,CNVF01000000,1,1
144370,42.4072107,-71.3824374,16,#505050,393,38,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,F,36-84,ERR069773,CNTF02000001-CNTF02000231,CNTF01000000,0,0
187406,42.4072107,-71.3824374,16,#505050,100,33F,<0.03,<0.03,0.12/2,<0.03,0.25,,2001,circle,O,36-84,ERR069789,CIEE02000001-CIEE02000122,CIEE01000000,0,0
R34-3121,42.4072107,-71.3824374,16,#505050,100,33F,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,G,36-84,ERR068021,CNWQ02000001-CNWQ02000125,CNWQ01000000,0,0
R34-3173,42.4072107,-71.3824374,16,#505050,100,33F,<=0.03,<=0.25,1,<=0.06,<=0.50,2,2004,square,E,24-36,ERR067972,CNQD02000001-CNQD02000128,CNQD01000000,0,0
R34-3023,42.4072107,-71.3824374,16,#505050,452,35B,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,I,36-84,ERR065349,CNPM02000001-CNPM02000184,CNPM01000000,0,0
R34-3122,42.4072107,-71.3824374,16,#505050,452,35B,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,G,Jun-24,ERR068022,CVKI02000001-CVKI02000195,CVKI01000000,0,0
R34-3223,42.4072107,-71.3824374,16,#505050,452,35B,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,I,36-84,ERR069722,CNRT02000001-CNRT02000180,CNRT01000000,0,0
110093,42.4072107,-71.3824374,16,#505050,1939,6A,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,K,Jun-24,ERR069764,CNSQ02000001-CNSQ02000259,CNSQ01000000,0,0
R34-3026,42.4072107,-71.3824374,16,#505050,242,6A,1,1,0.5,>0.50,>4.00,2,2004,square,I,24-36,ERR065352,CNPC02000001-CNPC02000252,CNPC01000000,1,1
18044,42.4072107,-71.3824374,16,#505050,1518,6B,4,1,Feb-38,>1,0.5,,2001,circle,F,<6,ERR069735,CNTD02000001-CNTD02000174,CNTD01000000,0,0
160986,42.4072107,-71.3824374,16,#505050,1536,6B,2,>2,>4/76,0.06,1,,2001,circle,F,Jun-24,ERR069782,CNUM02000001-CNUM02000168,CNUM01000000,0,0
302649,42.4072107,-71.3824374,16,#505050,146,6B,<0.03,<0.03,Feb-38,>1,0.5,,2001,circle,J,36-84,ERR069813,CNUW02000001-CNUW02000187,CNUW01000000,0,0
323485,42.4072107,-71.3824374,16,#505050,146,6B,<0.03,<0.03,0.25/4,<0.03,0.5,,2001,circle,P,36-84,ERR069819,CFQU02000001-CFQU02000215,CFQU01000000,0,0
388483,42.4072107,-71.3824374,16,#505050,146,6B,0.25,0.5,>4/76,>1,0.25,,2001,circle,H,36-84,ERR069838,CNVK02000001-CNVK02000216,CNVK01000000,0,0
397079,42.4072107,-71.3824374,16,#505050,315,6B,0.25,0.06,0.5/9.,>1,>8,,2001,circle,J,36-84,ERR069840,CNVN02000001-CNVN02000192,CNVN01000000,1,1
436154,42.4072107,-71.3824374,16,#505050,1954,6B,1,0.5,0.25/4,<0.03,0.12,,2001,circle,P,Jun-24,ERR065957,CNPY02000001-CNPY02000261,CNPY01000000,0,1
R34-3038,42.4072107,-71.3824374,16,#505050,1930,6B,<=0.03,<=0.25,>2.00,<=0.06,<=0.50,2,2004,square,J,Jun-24,ERR065295,CHBE02000001-CHBE02000186,CHBE01000000,0,0
R34-3086,42.4072107,-71.3824374,16,#505050,547,6C,<=0.03,<=0.25,<=0.25,<=0.06,<=0.50,2,2004,square,M,Jun-24,ERR067991,CNWO02000001-CNWO02000172,CNWO01000000,0,0
132571,42.4072107,-71.3824374,16,#505050,405,9N,<0.03,<0.03,0.25/4,<0.03,0.25,,2001,circle,N,Jun-24,ERR069769,CNTM02000001-CNTM02000126,CNTM01000000,0,0
436915,42.4072107,-71.3824374,16,#505050,66,9N,<0.03,<0.03,0.12/2,<0.03,0.25,,2001,circle,N,36-84,ERR065958,CNPZ02000001-CNPZ02000168,CNPZ01000000,0,0
R34-3108,42.4072107,-71.3824374,16,#505050,2011,NT,2,1,<=0.25,<=0.06,<=0.50,2,2004,square,G,Jun-24,ERR068009,CNWW02000001-CNWW02000174,CNWW01000000,0,0
